iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063326
2,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062783
3,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063713
4,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062548
5,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062212
6,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063709
7,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063294
8,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062044
9,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063154
10,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062943
11,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062972
12,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063034
13,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063678
14,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063013
15,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062651
16,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062811
17,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062559
18,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062480
19,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062740
20,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063027
21,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062453
22,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062957
23,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063240
24,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062979
25,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063409
26,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062498
27,192.168.0.1,sw0p5,sw0p5.cfg,0,0.072914
28,192.168.0.1,sw0p5,sw0p5.cfg,0,0.064587
29,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062986
30,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063861
31,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063731
32,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063917
33,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062523
34,192.168.0.1,sw0p5,sw0p5.cfg,0,0.064261
35,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063279
36,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063747
37,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063683
38,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063739
39,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063386
40,192.168.0.1,sw0p5,sw0p5.cfg,0,0.064068
41,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063556
42,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062507
43,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063089
44,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062555
45,192.168.0.1,sw0p5,sw0p5.cfg,0,0.061653
46,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063565
47,192.168.0.1,sw0p5,sw0p5.cfg,0,0.063930
48,192.168.0.1,sw0p5,sw0p5.cfg,0,0.062197
