iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063051
2,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063583
3,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063097
4,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063658
5,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062788
6,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062929
7,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063263
8,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063578
9,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062703
10,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063675
11,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063550
12,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063209
13,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064460
14,192.168.0.1,sw0p1,sw0p1.cfg,1,0.072105
15,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064789
16,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063888
17,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063738
18,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063612
19,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062757
20,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063186
21,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063391
22,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062853
23,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064031
24,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062675
25,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063271
26,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063397
27,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062779
28,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063216
29,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063245
30,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063064
31,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062973
32,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063169
33,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062551
34,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063588
35,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063405
36,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063211
37,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062909
38,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063149
39,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063293
40,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062956
41,192.168.0.1,sw0p1,sw0p1.cfg,1,0.071515
42,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063143
43,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062833
44,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062729
45,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063345
46,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063218
47,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064839
48,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063753
49,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063573
50,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063785
51,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063457
52,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063958
53,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063779
54,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063614
55,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064332
56,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063330
57,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064007
58,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063465
59,192.168.0.1,sw0p1,sw0p1.cfg,1,0.067252
60,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063527
61,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062852
62,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063520
63,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064724
64,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064084
65,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062720
66,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062717
67,192.168.0.1,sw0p1,sw0p1.cfg,1,0.065356
68,192.168.0.1,sw0p1,sw0p1.cfg,1,0.071483
69,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063180
70,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063294
71,192.168.0.1,sw0p1,sw0p1.cfg,1,0.064274
72,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062423
73,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062964
74,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063537
75,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062963
76,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063609
77,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062336
78,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062731
79,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063485
80,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062926
81,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063083
82,192.168.0.1,sw0p1,sw0p1.cfg,1,0.061998
83,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062224
84,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063422
85,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062441
86,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063011
87,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063489
88,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062795
89,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062728
90,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062746
91,192.168.0.1,sw0p1,sw0p1.cfg,1,0.062309
92,192.168.0.1,sw0p1,sw0p1.cfg,1,0.063528
93,192.168.0.1,sw0p1,sw0p1.cfg,1,0.067295
94,192.168.0.1,sw0p1,sw0p1.cfg,1,0.067495
95,192.168.0.1,sw0p1,sw0p1.cfg,1,0.068203
96,192.168.0.1,sw0p1,sw0p1.cfg,1,0.069427
97,192.168.0.1,sw0p1,sw0p1.cfg,1,0.067263
98,192.168.0.1,sw0p1,sw0p1.cfg,1,0.068637
99,192.168.0.1,sw0p1,sw0p1.cfg,1,0.070291
100,192.168.0.1,sw0p1,sw0p1.cfg,1,0.068045
