iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.4,sw0p2,sw0p2.cfg,1,0.071389
2,192.168.0.4,sw0p2,sw0p2.cfg,1,0.061998
3,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063047
4,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065234
5,192.168.0.4,sw0p2,sw0p2.cfg,1,0.066902
6,192.168.0.4,sw0p2,sw0p2.cfg,1,0.060964
7,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064338
8,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064120
9,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064290
10,192.168.0.4,sw0p2,sw0p2.cfg,1,0.068925
11,192.168.0.4,sw0p2,sw0p2.cfg,1,0.076167
12,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064448
13,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062744
14,192.168.0.4,sw0p2,sw0p2.cfg,1,0.071510
15,192.168.0.4,sw0p2,sw0p2.cfg,1,0.083274
16,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065059
17,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065843
18,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064522
19,192.168.0.4,sw0p2,sw0p2.cfg,1,0.066020
20,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062704
21,192.168.0.4,sw0p2,sw0p2.cfg,1,0.061699
22,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065324
23,192.168.0.4,sw0p2,sw0p2.cfg,1,0.068561
24,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065040
25,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064263
26,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063142
27,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064430
28,192.168.0.4,sw0p2,sw0p2.cfg,1,0.074772
29,192.168.0.4,sw0p2,sw0p2.cfg,1,0.067583
30,192.168.0.4,sw0p2,sw0p2.cfg,1,0.074259
31,192.168.0.4,sw0p2,sw0p2.cfg,1,0.061962
32,192.168.0.4,sw0p2,sw0p2.cfg,1,0.071812
33,192.168.0.4,sw0p2,sw0p2.cfg,1,0.083205
34,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063771
35,192.168.0.4,sw0p2,sw0p2.cfg,1,0.073396
36,192.168.0.4,sw0p2,sw0p2.cfg,1,0.068266
37,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064389
38,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065026
39,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065083
40,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062222
41,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063539
42,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062802
43,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063638
44,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063408
45,192.168.0.4,sw0p2,sw0p2.cfg,1,0.068673
46,192.168.0.4,sw0p2,sw0p2.cfg,1,0.071640
47,192.168.0.4,sw0p2,sw0p2.cfg,1,0.067641
48,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064441
49,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062759
50,192.168.0.4,sw0p2,sw0p2.cfg,1,0.061457
51,192.168.0.4,sw0p2,sw0p2.cfg,1,0.076862
52,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065006
53,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063195
54,192.168.0.4,sw0p2,sw0p2.cfg,1,0.081595
55,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064426
56,192.168.0.4,sw0p2,sw0p2.cfg,1,0.066690
57,192.168.0.4,sw0p2,sw0p2.cfg,1,0.062157
58,192.168.0.4,sw0p2,sw0p2.cfg,1,0.066074
59,192.168.0.4,sw0p2,sw0p2.cfg,1,0.073614
60,192.168.0.4,sw0p2,sw0p2.cfg,1,0.064219
61,192.168.0.4,sw0p2,sw0p2.cfg,1,0.087995
62,192.168.0.4,sw0p2,sw0p2.cfg,1,0.075639
63,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063180
64,192.168.0.4,sw0p2,sw0p2.cfg,1,0.074208
65,192.168.0.4,sw0p2,sw0p2.cfg,1,0.063466
66,192.168.0.4,sw0p2,sw0p2.cfg,1,0.061901
67,192.168.0.4,sw0p2,sw0p2.cfg,1,0.065190
