iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063599
2,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063515
3,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068642
4,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062879
5,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063637
6,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063209
7,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063147
8,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062744
9,192.168.0.1,sw0p2,sw0p2.cfg,0,0.067494
10,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062895
11,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062934
12,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063719
13,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063610
14,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064223
15,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063159
16,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063184
17,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063883
18,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062121
19,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063842
20,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062823
21,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064051
22,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064198
23,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062733
24,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063407
25,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063892
26,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062181
27,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062826
28,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063452
29,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062772
30,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063059
31,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063504
32,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069098
33,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062754
34,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062785
35,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062971
36,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063514
37,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063430
38,192.168.0.1,sw0p2,sw0p2.cfg,0,0.067659
39,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063019
