iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063060
2,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063175
3,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063227
4,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063838
5,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063213
6,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063432
7,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063839
8,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063334
9,192.168.0.1,sw0p2,sw0p2.cfg,0,0.061161
10,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063218
11,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066588
12,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066744
13,192.168.0.1,sw0p2,sw0p2.cfg,0,0.066813
14,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069472
15,192.168.0.1,sw0p2,sw0p2.cfg,0,0.071645
16,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069553
17,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069341
18,192.168.0.1,sw0p2,sw0p2.cfg,0,0.069128
19,192.168.0.1,sw0p2,sw0p2.cfg,0,0.067527
20,192.168.0.1,sw0p2,sw0p2.cfg,0,0.070662
21,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068043
22,192.168.0.1,sw0p2,sw0p2.cfg,0,0.067852
23,192.168.0.1,sw0p2,sw0p2.cfg,0,0.068956
24,192.168.0.1,sw0p2,sw0p2.cfg,0,0.061979
25,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062727
26,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063069
27,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063335
28,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062998
29,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063341
30,192.168.0.1,sw0p2,sw0p2.cfg,0,0.071583
31,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063903
32,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063178
33,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064603
34,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062803
35,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062529
36,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063689
37,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062864
38,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064125
39,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063217
40,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063633
41,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063373
42,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063150
43,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063442
44,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062984
45,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063955
46,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062639
47,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063568
48,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063498
49,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064267
50,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064618
51,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063883
52,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064305
53,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063029
54,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062684
55,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063497
56,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062417
57,192.168.0.1,sw0p2,sw0p2.cfg,0,0.071001
58,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063211
59,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063252
60,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063290
61,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063287
62,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062133
63,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063505
64,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063198
65,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063499
66,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063274
67,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063073
68,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062436
69,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063602
70,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063003
71,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063157
72,192.168.0.1,sw0p2,sw0p2.cfg,0,0.065423
73,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063090
74,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063892
75,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063047
76,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063132
77,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062958
78,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062213
79,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062681
80,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063638
81,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062444
82,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064040
83,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062674
84,192.168.0.1,sw0p2,sw0p2.cfg,0,0.071923
85,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063465
86,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062900
87,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063650
88,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063305
89,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063165
90,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062892
91,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062222
92,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063037
93,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062683
94,192.168.0.1,sw0p2,sw0p2.cfg,0,0.062706
95,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063513
96,192.168.0.1,sw0p2,sw0p2.cfg,0,0.064573
97,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063192
98,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063993
99,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063094
100,192.168.0.1,sw0p2,sw0p2.cfg,0,0.063747
