iteration,ip,interface,config_file,exit_status,execution_time_seconds
1,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066951
2,192.168.0.4,sw0p4,sw0p4.cfg,0,0.072071
3,192.168.0.4,sw0p4,sw0p4.cfg,0,0.076795
4,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066993
5,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063296
6,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063249
7,192.168.0.4,sw0p4,sw0p4.cfg,0,0.076345
8,192.168.0.4,sw0p4,sw0p4.cfg,0,0.072673
9,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063418
10,192.168.0.4,sw0p4,sw0p4.cfg,0,0.076264
11,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065125
12,192.168.0.4,sw0p4,sw0p4.cfg,0,0.081693
13,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071677
14,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071059
15,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064238
16,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064011
17,192.168.0.4,sw0p4,sw0p4.cfg,0,0.082928
18,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063571
19,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063270
20,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065453
21,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071377
22,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065406
23,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066552
24,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063324
25,192.168.0.4,sw0p4,sw0p4.cfg,0,0.069549
26,192.168.0.4,sw0p4,sw0p4.cfg,0,0.074798
27,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063704
28,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063368
29,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063333
30,192.168.0.4,sw0p4,sw0p4.cfg,0,0.083767
31,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065148
32,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063453
33,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070503
34,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064708
35,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064913
36,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064950
37,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063176
38,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064479
39,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065126
40,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065501
41,192.168.0.4,sw0p4,sw0p4.cfg,0,0.079021
42,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066671
43,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075412
44,192.168.0.4,sw0p4,sw0p4.cfg,0,0.074177
45,192.168.0.4,sw0p4,sw0p4.cfg,0,0.070911
46,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071211
47,192.168.0.4,sw0p4,sw0p4.cfg,0,0.062853
48,192.168.0.4,sw0p4,sw0p4.cfg,0,0.064454
49,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063213
50,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065779
51,192.168.0.4,sw0p4,sw0p4.cfg,0,0.065312
52,192.168.0.4,sw0p4,sw0p4.cfg,0,0.063284
53,192.168.0.4,sw0p4,sw0p4.cfg,0,0.088048
54,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066754
55,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075232
56,192.168.0.4,sw0p4,sw0p4.cfg,0,0.066657
57,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075879
58,192.168.0.4,sw0p4,sw0p4.cfg,0,0.081209
59,192.168.0.4,sw0p4,sw0p4.cfg,0,0.067436
60,192.168.0.4,sw0p4,sw0p4.cfg,0,0.090886
61,192.168.0.4,sw0p4,sw0p4.cfg,0,0.075430
62,192.168.0.4,sw0p4,sw0p4.cfg,0,0.074709
63,192.168.0.4,sw0p4,sw0p4.cfg,0,0.071970
